"","Site","Bee_ID","Slide_code","Family","Subtype","Count","Pollen_colour","Date_pollen","Num_of_samples","Num_of_subtypes"
"103","JAM","JAM_Y-PPY","J-145","Primulaceae","Lysimachia",300,"medium yellow",2025-01-15,2,1
"104","KB","KB_GGW","K-146","Unknown 3","Unknown 3",230,"light yellow",2024-12-18,1,2
"105","JAM","JAM_OBO-P","J-116","Asteraceae","Asteraceae",138,"dark yellow",2024-11-18,2,3
"106","JAM","JAM_OBO-P","J-116","Ranunculaceae","Ranunculus",91,"dark yellow",2024-11-18,2,3
"107","JAM","JAM_W-OWW","J-256","Asteraceae","Asteraceae",57,"dark yellow",2025-02-04,2,5
"108","JAM","JAM_W-OWW","J-256","Ranunculaceae","Ranunculus",123,"dark yellow",2025-02-04,2,5
"109","KB","KB_OOB","K-140","Unknown 3","Unknown 3",300,"light yellow",2025-01-17,1,1
"110","JAM","JAM_W-OWW","J-256","Brassicaceae","Brassicaceae",8,"dark yellow",2025-02-04,2,5
"111","JAM","JAM_W-OWW","J-256","Plantaginaceae","Plantago",28,"dark yellow",2025-02-04,2,5
"112","JAM","JAM_PiBP","J-130","Unknown 4","Unknown 4",300,"medium yellow",2024-11-12,3,1
"113","JAM","JAM_OGG","J-258","Asteraceae","Asteraceae",49,"medium yellow",2024-11-12,4,2
"114","JAM","JAM_OGG","J-258","Plantaginaceae","Plantago",251,"medium yellow",2024-11-12,4,2
"115","JAM","JAM_GGP","J-265","Unknown 4","Unknown 4",159,"medium yellow",2024-11-07,3,2
"116","JAM","JAM_GGP","J-265","Ranunculaceae","Ranunculus",138,"medium yellow",2024-11-07,3,2
"117","JAM","JAM_GPP","J-210","Asteraceae","Cichorieae",195,"dark yellow",2025-01-07,1,1
"118","JAM","JAM_P-POB","J-231","Rosaceae","Rubus",291,"light yellow",2025-01-07,1,2
"119","JAM","JAM_P-POB","J-231","Caprifoliaceae","Leycesteria",9,"light yellow",2025-01-07,1,2
"120","JAM","JAM_B-BPP","J-199","Adoxaceae","Viburnum",299,"light yellow",2025-02-03,1,1
"121","JAM","JAM_Y-PPY","J-208","Primulaceae","Lysimachia",299,"medium yellow",2025-01-16,2,1
"122","JAM","JAM_O-OBB","J-133","Primulaceae","Lysimachia",228,"medium yellow",2025-02-03,2,2
"123","JAM","JAM_O-OBB","J-133","Asteraceae","Asteraceae",72,"medium yellow",2025-02-03,2,2
"124","JAM","JAM_PPO","J-267","Asteraceae","Asteraceae",5,"medium yellow",2024-11-07,1,2
"125","JAM","JAM_PPO","J-267","Ranunculaceae","Ranunculus",295,"medium yellow",2024-11-07,1,2
"126","JAM","JAM_P-PBG","J-113","Rosaceae","Rubus",188,"light yellow",2025-01-07,2,2
"127","JAM","JAM_P-PBG","J-113","Caprifoliaceae","Leycesteria",112,"light yellow",2025-01-07,2,2
"128","JAM","JAM_PPB","J-164","Rosaceae","Rubus",118,"medium yellow",2024-12-05,2,2
"129","JAM","JAM_PPB","J-164","Brassicaceae","Brassicaceae",182,"medium yellow",2024-12-05,2,2
"130","JAM","JAM_P-PBG","J-219","Rosaceae","Rubus",299,"light yellow",2025-01-06,2,1
"131","JAM","JAM_Y-YYY","J-254","Rosaceae","Rubus",300,"light yellow",2025-01-07,1,1
"132","JAM","JAM_PrBP-W","J-255","Asteraceae","Asteraceae",300,"dark yellow",2024-11-25,2,1
"133","JAM","JAM_W-PWO","J-249","Adoxaceae","Viburnum",298,"medium yellow",2025-02-03,3,1
"134","JAM","JAM_OOO","J-161","Plantaginaceae","Veronica",80,"medium yellow",2024-11-12,3,2
"135","JAM","JAM_OOO","J-161","Ranunculaceae","Ranunculus",219,"medium yellow",2024-11-12,3,2
"136","JAM","JAM_W","J-204","Unknown 4","Unknown 4",81,"medium yellow",2024-12-05,3,3
"137","JAM","JAM_GBG","J-201","Ranunculaceae","Ranunculus",12,"medium yellow",2024-11-19,2,2
"138","JAM","JAM_POO","J-235","Unknown 5","Unknown 5",29,"medium yellow",2024-11-19,4,5
"139","KB","KB_OBB","K-242","Polygonaceae","Muehlenbeckia",300,"light yellow",2024-12-18,1,1
"140","KB","KB_OOO","K-261","Polygonaceae","Muehlenbeckia",70,"light yellow",2024-12-03,1,2
"141","JAM","JAM_OBO-P","J-116","Unknown 6","Unknown 6",70,"dark yellow",2024-11-18,2,3
"142","JAM","JAM_PiBP","J-170","Unknown 6","Unknown 6",300,"light yellow",2024-11-07,3,1
"143","KB","KB_GGW","K-146","Solanaceae","Solanum",70,"light yellow",2024-12-18,1,2
"144","JAM","JAM_GBG","J-201","Unknown 6","Unknown 6",288,"medium yellow",2024-11-19,2,2
"145","JAM","JAM_OOO","J-154","Rosaceae","Rosaceae",300,"medium yellow",2024-11-25,3,1
"146","JAM","JAM_W-OWW","J-256","Unknown 7","Unknown 7",84,"dark yellow",2025-02-04,2,5
"147","JAM","JAM_W","J-204","Plantaginaceae","Plantago",121,"medium yellow",2024-12-05,3,3
"148","JAM","JAM_W","J-204","Ranunculaceae","Ranunculus",98,"medium yellow",2024-12-05,3,3
