"","Nest","Site","Num_females_same_day","Date_beehav","Nest_sociality_summary","Social_status_con","Social_status_lib"
"64","J67","JAM",0,2025-02-04,NA,"solitary","solitary"
"65","J71","JAM",1,2024-11-07,"only one female","solitary","solitary"
"66","J71","JAM",1,2024-11-18,NA,"solitary","solitary"
"67","J75","JAM",1,2024-12-02,"two females, 3 days apart","solitary","social"
"68","J75","JAM",1,2024-12-05,NA,"solitary","social"
"69","J80","JAM",1,2024-11-25,"only one female","solitary","solitary"
"70","J80","JAM",1,2024-12-05,NA,"solitary","solitary"
"71","J87","JAM",1,2024-12-17,"only two females collecting pollen, at least one No ID being vigilant","solitary","solitary"
"72","J87","JAM",1,2025-01-06,NA,"solitary","solitary"
"73","J87","JAM",2,2025-01-07,NA,"social","social"
"74","J87","JAM",1,2025-01-15,NA,"solitary","solitary"
"75","J87","JAM",0,2025-01-16,NA,"solitary","solitary"
"76","J87","JAM",1,2025-01-22,NA,"solitary","solitary"
"77","J87","JAM",1,2025-01-28,NA,"solitary","solitary"
"78","J87","JAM",0,2025-02-04,NA,"solitary","solitary"
"79","J89","JAM",1,2025-01-07,"only one female","solitary","solitary"
"80","J90","JAM",1,2025-01-22,"only one female","solitary","solitary"
"81","J90","JAM",0,2025-02-03,NA,"solitary","solitary"
"82","J90","JAM",0,2025-02-04,NA,"solitary","solitary"
"83","J91","JAM",3,2025-01-16,"three females","social","social"
"84","J91","JAM",3,2025-01-22,NA,"social","social"
"85","J91","JAM",0,2025-02-03,NA,"solitary","solitary"
"86","J91","JAM",0,2025-02-04,NA,"solitary","solitary"
"87","J92","JAM",2,2025-01-16,"three females","social","social"
"88","J92","JAM",2,2025-01-22,NA,"social","social"
"89","J92","JAM",3,2025-01-28,NA,"social","social"
"90","J92","JAM",2,2025-02-03,NA,"social","social"
"91","J98","JAM",0,2025-01-28,"only vigilance from unknown female","solitary","solitary"
"92","K11","KB",1,2024-12-03,"only one female","solitary","solitary"
"93","K13","KB",1,2024-12-03,"one female collecting pollen, 6 weeks later another female use same entrance","solitary","solitary"
"94","K13","KB",0,2025-01-17,NA,"solitary","solitary"
"95","K14","KB",1,2024-12-03,"only one female","solitary","solitary"
"96","K15","KB",0,2025-01-29,"no behaviour","solitary","solitary"
"97","K18","KB",0,2025-01-17,"no behaviour","solitary","solitary"
"98","K18","KB",0,2025-01-22,NA,"solitary","solitary"
"99","K19","KB",0,2024-12-18,"only vigilance from unknown female","solitary","solitary"
"100","K2","KB",1,2024-11-26,"only one female","solitary","solitary"
"101","K23","KB",1,2024-12-18,NA,"solitary","solitary"
"102","K23","KB",1,2025-01-17,NA,"solitary","solitary"
"103","K24","KB",1,2025-01-29,"only one female","solitary","solitary"
"104","K25","KB",1,2024-12-03,"only one female","solitary","solitary"
"105","K26","KB",0,2025-01-17,"no behaviour","solitary","solitary"
"106","K29","KB",1,2024-12-18,"only one female","solitary","solitary"
"107","K4","KB",1,2024-12-03,"one female then another female 8 weeks later","solitary","solitary"
"108","K4","KB",1,2025-01-29,NA,"solitary","solitary"
"109","K5","KB",1,2024-12-03,"only one female","solitary","solitary"
"110","K6","KB",1,2024-12-03,"only one female","solitary","solitary"
"111","K7","KB",0,2025-01-17,"only vigilance from unknown female","solitary","solitary"
"112","K8","KB",1,2024-12-03,NA,"solitary","solitary"
"113","K8","KB",1,2025-01-17,"one female then another female 6 weeks later","solitary","solitary"
"114","J56","JAM",0,NA,"behaviour never recorded, adding social status based on paint markings","solitary","social"
